7908508	23418
7908525	388722
7908529	56956
7908543	140609
7908553	5788
7908597	2494
7908614	23271
7908637	2848
7908639	55765
7908650	91156
7908672	5317
7908692	376693
7908694	89796
7908732	55705
7908758	149345
7908766	10440
7908779	6051
7908793	1999
7908812	9283
7908816	59352
7908841	4660
7908861	100128298
7908867	653659///92703
7908879	8497
7908907	134
7908917	7832
7908924	5549
7908931	26254
7908940	493
7908966	84719
7908968	54900
7908978	100381270///9877
7908988	6635
7908993	9580
7909011	4194
7909027	23114
7909064	6900
7909088	9911
7909104	5129
7909127	148808
7909142	64710
7909144	284581
7909146	729533///728833///653820
7909155	553
7909164	1510
7909175	23380
7909188	9641
7909214	83593
7909225	8444
7909236	9261
7909250	29949
7909261	50604
7909271	11009
7909285	5208
7909306	725
7909318	722
7909332	1604
7909350	1380
7909371	1378
7909390	1379
7909400	4179
7909418	148696
7909422	642587///406988
7909425	57172
7909441	50486
7909446	3290
7909455	80342
7909478	27042
7909494	255928
7909503	56256
7909510	55733
7909529	55758
7909545	7188
7909561	84791
7909568	51514
7909586	5525
7909601	692157
7909603	29937
7909610	467
7909624	149647
7909628	28982
7909642	79805
7909661	26750
7909681	5629
7909689	56950
7909708	1063
7909730	3776
7909745	51133
7909768	128153
7909782	51018
7909789	7042
7909801	127018
7909815	55699
7909841	4139
7909862	79762
7909866	54996
7909877	64757
7909890	3142
7909898	375056
7909931	148362
7909946	400823
7909954	84976
7909965	164127
7909967	824
7909990	100287934///100287497
7909992	23219
7910001	8560
7910014	29097
7910022	149111
7910030	127602
7910047	127602
7910054	127602
7910096	3930
7910099	6726
7910111	2052
7910124	440926///3020
7910134	83881
7910142	375057
